# TEST CONFIGURATION BEGIN
# FileStream(filename='ARF.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] AdaptiveRandomForestClassifier(binary_split=False, disable_weighted_vote=False, drift_detection_method=ADWIN(delta=0.001), grace_period=50, lambda_value=6, leaf_prediction='nba', max_byte_size=33554432, max_features='auto', memory_estimate_period=2000000, n_estimators=10, nb_threshold=0, no_preprune=False, nominal_attributes=None, performance_metric='acc', random_state=None, remove_poor_atts=False, split_confidence=0.01, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05, warning_detection_method=ADWIN(delta=0.01))
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=4900, max_time=1000, metrics=['accuracy', 'precision', 'recall', 'f1'], n_wait=200, output_file='11.csv', pretrain_size=200, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_precision_[M0],current_precision_[M0],mean_recall_[M0],current_recall_[M0],mean_f1_[M0],current_f1_[M0]
200,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
399,0.705000,0.705000,0.573034,0.573034,0.708333,0.708333,0.633540,0.633540
599,0.742500,0.780000,0.624309,0.673913,0.763514,0.815789,0.686930,0.738095
799,0.771667,0.830000,0.674330,0.787500,0.771930,0.787500,0.719836,0.787500
999,0.791250,0.850000,0.708455,0.817073,0.783871,0.817073,0.744257,0.817073
1199,0.807000,0.870000,0.737864,0.884058,0.781491,0.772152,0.759051,0.824324
1399,0.819167,0.880000,0.746862,0.803030,0.788079,0.828125,0.766917,0.815385
1599,0.820000,0.825000,0.757685,0.826667,0.780261,0.738095,0.768807,0.779874
1799,0.825000,0.860000,0.763780,0.804878,0.788618,0.846154,0.776000,0.825000
1999,0.831667,0.885000,0.778552,0.891566,0.795164,0.840909,0.786770,0.865497
2199,0.828500,0.800000,0.771536,0.710843,0.794344,0.786667,0.782774,0.746835
2399,0.831364,0.860000,0.774942,0.819672,0.790533,0.746269,0.782660,0.781250
2599,0.832500,0.845000,0.780720,0.841463,0.790773,0.793103,0.785714,0.816568
2799,0.832692,0.835000,0.782651,0.804878,0.791133,0.795181,0.786869,0.800000
2999,0.835357,0.870000,0.789715,0.904762,0.787546,0.740260,0.788629,0.814286
3199,0.836333,0.850000,0.790198,0.797297,0.788165,0.797297,0.789180,0.797297
3399,0.839375,0.885000,0.792302,0.821429,0.794851,0.896104,0.793574,0.857143
3599,0.842059,0.885000,0.796816,0.875000,0.796212,0.818182,0.796514,0.845638
3799,0.844722,0.890000,0.800285,0.855422,0.800857,0.876543,0.800571,0.865854
3999,0.845526,0.860000,0.800954,0.815385,0.799320,0.768116,0.800136,0.791045
4199,0.848000,0.895000,0.807143,0.931507,0.799871,0.809524,0.803491,0.866242
4399,0.848095,0.850000,0.810313,0.865169,0.800485,0.810526,0.805369,0.836957
4599,0.849773,0.885000,0.812941,0.873239,0.801159,0.815789,0.807007,0.843537
4799,0.851957,0.900000,0.817571,0.908046,0.804515,0.868132,0.810991,0.887640
4899,0.852979,0.895000,0.818531,0.879518,0.805720,0.869048,0.812075,0.874251
