# TEST CONFIGURATION BEGIN
# FileStream(filename='ARF.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] AdaptiveRandomForestClassifier(binary_split=False, disable_weighted_vote=False, drift_detection_method=ADWIN(delta=0.001), grace_period=50, lambda_value=6, leaf_prediction='nba', max_byte_size=33554432, max_features='auto', memory_estimate_period=2000000, n_estimators=10, nb_threshold=0, no_preprune=False, nominal_attributes=None, performance_metric='acc', random_state=None, remove_poor_atts=False, split_confidence=0.01, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05, warning_detection_method=ADWIN(delta=0.01))
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=4900, max_time=1000, metrics=['accuracy', 'precision', 'recall', 'f1'], n_wait=100, output_file='11.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_precision_[M0],current_precision_[M0],mean_recall_[M0],current_recall_[M0],mean_f1_[M0],current_f1_[M0]
200,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
201,0.500000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
299,0.670000,0.670000,0.456522,0.456522,0.724138,0.724138,0.560000,0.560000
399,0.680000,0.690000,0.542553,0.625000,0.708333,0.697674,0.614458,0.659341
499,0.726667,0.820000,0.601504,0.743590,0.733945,0.783784,0.661157,0.763158
599,0.742500,0.790000,0.630058,0.725000,0.736486,0.743590,0.679128,0.734177
699,0.752000,0.790000,0.649533,0.731707,0.739362,0.750000,0.691542,0.740741
799,0.771667,0.870000,0.678431,0.829268,0.758772,0.850000,0.716356,0.839506
899,0.784286,0.860000,0.700680,0.846154,0.765799,0.804878,0.731794,0.825000
999,0.796250,0.880000,0.719403,0.853659,0.777419,0.853659,0.747287,0.853659
1099,0.804444,0.870000,0.733333,0.850000,0.783476,0.829268,0.757576,0.839506
1199,0.814000,0.900000,0.744578,0.850000,0.794344,0.894737,0.768657,0.871795
1299,0.820909,0.890000,0.749436,0.821429,0.794258,0.793103,0.771196,0.807018
1399,0.825000,0.870000,0.753653,0.805556,0.796909,0.828571,0.774678,0.816901
1499,0.826154,0.840000,0.758221,0.815789,0.795132,0.775000,0.776238,0.794872
1599,0.828571,0.860000,0.767568,0.894737,0.793296,0.772727,0.780220,0.829268
1699,0.834000,0.910000,0.775510,0.909091,0.795812,0.833333,0.785530,0.869565
1799,0.834375,0.840000,0.778662,0.825000,0.795122,0.785714,0.786806,0.804878
1899,0.837647,0.890000,0.784547,0.866667,0.801214,0.886364,0.792793,0.876404
1999,0.840000,0.880000,0.790210,0.880952,0.803698,0.840909,0.796897,0.860465
2099,0.839474,0.830000,0.791064,0.804348,0.804813,0.822222,0.797879,0.813187
2199,0.841000,0.870000,0.788945,0.742857,0.807198,0.866667,0.797967,0.800000
2299,0.840000,0.820000,0.788462,0.777778,0.803922,0.736842,0.796117,0.756757
2399,0.841818,0.880000,0.789290,0.814815,0.802367,0.758621,0.795775,0.785714
2499,0.843043,0.870000,0.790929,0.822222,0.806088,0.880952,0.798437,0.850575
2599,0.843750,0.860000,0.794087,0.860465,0.806867,0.822222,0.800426,0.840909
2699,0.845600,0.890000,0.796353,0.850000,0.809475,0.871795,0.802860,0.860759
2799,0.845000,0.830000,0.795938,0.787234,0.810837,0.840909,0.803319,0.813187
2899,0.847407,0.910000,0.797575,0.842105,0.814286,0.914286,0.805844,0.876712
2999,0.847857,0.860000,0.800542,0.888889,0.812271,0.761905,0.806364,0.820513
3099,0.848966,0.880000,0.801928,0.848485,0.811890,0.800000,0.806878,0.823529
3199,0.848333,0.830000,0.801527,0.789474,0.810463,0.769231,0.805970,0.779221
3299,0.849677,0.890000,0.805237,0.906977,0.811881,0.847826,0.808546,0.876404
3399,0.850938,0.890000,0.804936,0.794118,0.813355,0.870968,0.809124,0.830769
3499,0.851818,0.880000,0.806502,0.861111,0.813427,0.815789,0.809949,0.837838
3599,0.853529,0.910000,0.810423,0.968750,0.812879,0.794872,0.811649,0.873239
3699,0.854000,0.870000,0.811997,0.860465,0.813783,0.840909,0.812889,0.850575
3799,0.854722,0.880000,0.813124,0.857143,0.813704,0.810811,0.813414,0.833333
3899,0.854324,0.840000,0.812413,0.781250,0.811847,0.735294,0.812130,0.757576
3999,0.854211,0.850000,0.812842,0.833333,0.809524,0.714286,0.811179,0.769231
4099,0.854872,0.880000,0.815702,0.923077,0.809241,0.800000,0.812459,0.857143
4199,0.854750,0.850000,0.816526,0.852941,0.807593,0.743590,0.812035,0.794521
4299,0.854878,0.860000,0.818124,0.878049,0.807380,0.800000,0.812716,0.837209
4399,0.855000,0.860000,0.820592,0.909091,0.807156,0.800000,0.813818,0.851064
4499,0.855814,0.890000,0.822289,0.894737,0.807692,0.829268,0.814925,0.860759
4599,0.856136,0.870000,0.822695,0.843750,0.806957,0.771429,0.814750,0.805970
4699,0.857556,0.920000,0.824885,0.909091,0.809497,0.909091,0.817118,0.909091
4799,0.858261,0.890000,0.826599,0.891304,0.811123,0.872340,0.818788,0.881720
4899,0.858936,0.890000,0.827283,0.861111,0.811657,0.837838,0.819395,0.849315
