# TEST CONFIGURATION BEGIN
# FileStream(filename='three2one_15W.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=4900, max_time=1000, metrics=['accuracy', 'precision', 'recall', 'f1'], n_wait=100, output_file='0210909_1.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_precision_[M0],current_precision_[M0],mean_recall_[M0],current_recall_[M0],mean_f1_[M0],current_f1_[M0]
200,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
201,0.500000,0.500000,0.500000,0.500000,1.000000,1.000000,0.666667,0.666667
299,0.630000,0.630000,0.448276,0.448276,0.382353,0.382353,0.412698,0.412698
399,0.670000,0.710000,0.411765,0.363636,0.368421,0.347826,0.388889,0.355556
499,0.686667,0.720000,0.393939,0.333333,0.325000,0.217391,0.356164,0.263158
599,0.652500,0.550000,0.383838,0.363636,0.327586,0.333333,0.353488,0.347826
699,0.646000,0.620000,0.367647,0.324324,0.354610,0.480000,0.361011,0.387097
799,0.646667,0.650000,0.351724,0.111111,0.301775,0.035714,0.324841,0.054054
899,0.664286,0.770000,0.354839,0.400000,0.289474,0.190476,0.318841,0.258065
999,0.666250,0.680000,0.350000,0.320000,0.295775,0.347826,0.320611,0.333333
1099,0.666667,0.670000,0.338624,0.111111,0.267782,0.038462,0.299065,0.057143
1199,0.660000,0.600000,0.323671,0.166667,0.250936,0.107143,0.282700,0.130435
1299,0.656364,0.620000,0.323009,0.315789,0.244966,0.193548,0.278626,0.240000
1399,0.655000,0.640000,0.315574,0.222222,0.237654,0.153846,0.271127,0.181818
1499,0.660000,0.720000,0.309804,0.181818,0.228986,0.095238,0.263333,0.125000
1599,0.649286,0.510000,0.322581,0.381818,0.262467,0.583333,0.289436,0.461538
1699,0.645333,0.590000,0.312121,0.150000,0.252451,0.111111,0.279133,0.127660
1799,0.641250,0.580000,0.310249,0.290323,0.256293,0.310345,0.280702,0.300000
1899,0.647647,0.750000,0.309589,0.250000,0.245652,0.043478,0.273939,0.074074
1999,0.648889,0.670000,0.317380,0.406250,0.258727,0.481481,0.285068,0.440678
2099,0.651579,0.700000,0.317734,0.333333,0.250973,0.111111,0.280435,0.166667
2199,0.654500,0.710000,0.315663,0.222222,0.243494,0.083333,0.274921,0.121212
2299,0.653333,0.630000,0.309633,0.190476,0.240214,0.166667,0.270541,0.177778
2399,0.650455,0.590000,0.312364,0.360000,0.241611,0.264706,0.272469,0.305085
2499,0.653043,0.710000,0.315464,0.375000,0.247173,0.391304,0.277174,0.382979
2599,0.656250,0.730000,0.319277,0.461538,0.246512,0.230769,0.278215,0.307692
2699,0.657200,0.680000,0.315175,0.187500,0.242879,0.136364,0.274344,0.157895
2799,0.656154,0.630000,0.320965,0.440000,0.246790,0.323529,0.279032,0.372881
2899,0.652222,0.550000,0.323729,0.352941,0.261286,0.600000,0.289175,0.444444
2999,0.646429,0.490000,0.318182,0.192308,0.255875,0.142857,0.283647,0.163934
3099,0.643448,0.560000,0.321157,0.365854,0.264080,0.454545,0.289835,0.405405
3199,0.646000,0.720000,0.320783,0.285714,0.258495,0.080000,0.286290,0.125000
3299,0.643548,0.570000,0.318508,0.272727,0.260563,0.321429,0.286637,0.295082
3399,0.640000,0.530000,0.320631,0.343750,0.277588,0.814815,0.297561,0.483516
3499,0.643636,0.760000,0.320210,0.000000,0.270510,0.000000,0.293269,0.000000
3599,0.644706,0.680000,0.320102,0.315789,0.269687,0.240000,0.292740,0.272727
3699,0.642571,0.570000,0.315000,0.105263,0.263874,0.071429,0.287179,0.085106
3799,0.643333,0.670000,0.314677,0.250000,0.256592,0.032258,0.282682,0.057143
3899,0.642432,0.610000,0.312500,0.166667,0.250737,0.064516,0.278232,0.093023
3999,0.640526,0.570000,0.309976,0.230769,0.249522,0.206897,0.276483,0.218182
4099,0.641282,0.670000,0.306884,0.133333,0.246255,0.090909,0.273247,0.108108
4199,0.642000,0.670000,0.308559,0.354839,0.250916,0.458333,0.276768,0.400000
4299,0.642683,0.670000,0.309706,0.344828,0.254480,0.416667,0.279390,0.377358
4399,0.644048,0.700000,0.310680,0.400000,0.251748,0.142857,0.278127,0.210526
4499,0.646279,0.740000,0.309345,0.000000,0.246998,0.000000,0.274678,0.000000
4599,0.645909,0.630000,0.305820,0.071429,0.242653,0.040000,0.270599,0.051282
4699,0.648444,0.760000,0.309771,0.529412,0.245066,0.360000,0.273646,0.428571
4799,0.648043,0.630000,0.307536,0.200000,0.243352,0.160000,0.271705,0.177778
4899,0.650851,0.780000,0.307223,0.000000,0.239303,0.000000,0.269042,0.000000
