tcp_frame_length,tcp_ip_length,tcp_length,udp_frame_length,udp_ip_length,udp_length,arp_frame_length,src_length,dst_length,num_ssl,num_http,num_ftp,num_ssh,num_smtp,num_dhcp,num_dns,num_tcp,num_udp,num_arp,connection_pairs,num_ports,num_packets
9816,9412,8248,180,152,112,0,152,112,2,0,0,0,0,0,0,28,2,0,2,5,30
0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2
318,262,66,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,3,4
132,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,2
631,533,153,226,198,158,0,198,158,3,0,0,0,0,0,0,7,2,0,3,6,9
610,512,148,0,0,0,84,0,0,0,0,0,0,0,0,0,7,0,2,2,2,9
114,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,2
450,366,66,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,4,6
10081,9635,8315,180,152,112,0,152,112,2,0,0,0,0,0,0,31,2,0,3,6,33
0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2
186,144,0,848,792,712,0,792,712,4,0,0,0,0,0,0,3,4,0,3,5,7
264,222,66,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,3
114,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,2
264,222,66,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,3
186,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,3,3
10080,9634,8314,180,152,112,0,152,112,2,0,0,0,0,0,0,31,2,0,3,6,33
0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2
264,222,66,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,3
186,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,3,3
549,431,63,252,238,218,0,238,218,0,0,0,0,0,0,0,8,1,0,3,4,9
264,222,66,0,0,0,84,0,0,0,0,0,0,0,0,0,3,0,2,2,2,5
0,0,0,848,792,712,0,792,712,4,0,0,0,0,0,0,0,4,0,1,2,4
318,262,66,386,169,298,0,169,298,2,0,0,0,0,0,0,4,2,0,4,4,6
9816,9412,8248,180,152,112,0,152,112,2,0,0,0,0,0,0,28,2,0,2,5,30
0,0,0,478,422,342,84,422,342,4,0,0,0,0,0,0,0,4,2,1,3,6
0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
1092,994,646,172,144,104,0,144,104,2,0,0,0,0,0,0,7,2,0,3,5,9
17260,16620,14544,242,214,174,0,214,174,2,0,0,0,0,0,0,44,2,0,3,5,46
132,104,0,0,0,0,84,0,0,0,0,0,0,0,0,0,2,0,2,2,2,4
318,262,66,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,3,4
114,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,2
378,302,66,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,3,5
132,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,2
9817,9413,8249,180,152,112,0,152,112,2,0,0,0,0,0,0,28,2,0,2,5,30
54,40,0,0,0,0,84,0,0,0,0,0,0,0,0,0,1,0,2,2,2,3
1175,993,301,226,198,158,0,198,158,3,0,0,0,0,0,0,13,2,0,3,6,15
66,52,0,424,396,356,0,396,356,2,0,0,0,0,0,0,1,2,0,2,4,3
0,0,0,424,396,356,0,396,356,2,0,0,0,0,0,0,0,2,0,1,2,2
378,302,66,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,3,5
132,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,2
114,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,2
0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
324,262,66,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,3,4
0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2
9592,9216,8144,180,152,112,0,152,112,2,0,0,0,0,0,0,26,2,0,2,5,28
608,510,170,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,4,7
264,222,66,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,3
246,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,3,4
264,222,66,424,396,356,0,396,356,2,0,0,0,0,0,0,3,2,0,2,4,5
0,0,0,424,396,356,0,396,356,2,0,0,0,0,0,0,0,2,0,1,2,2
10080,9634,8314,180,152,112,0,152,112,2,0,0,0,0,0,0,31,2,0,3,6,33
0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2
132,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,2
645,533,129,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,3,8
378,302,66,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,3,5
0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
0,0,0,478,422,342,0,422,342,4,0,0,0,0,0,0,0,4,0,1,3,4
0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2
1329,1143,583,180,152,112,0,152,112,2,0,0,0,0,0,0,12,2,0,3,6,14
14750,14274,12706,242,214,174,0,214,174,2,0,0,0,0,0,0,34,2,0,3,5,36
3510,3286,2454,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,1,2,16
264,222,66,848,792,712,0,792,712,4,0,0,0,0,0,0,3,4,0,2,4,7
378,302,66,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,3,5
132,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,2
1175,993,301,226,198,158,0,198,158,3,0,0,0,0,0,0,13,2,0,3,6,15
314,232,0,180,152,112,84,152,112,2,0,0,0,0,0,0,5,2,2,3,7,9
9567,9231,8247,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,1,2,24
396,326,66,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,3,5
264,222,66,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,3
114,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,2
132,104,0,848,792,712,0,792,712,4,0,0,0,0,0,0,2,4,0,2,4,6
264,222,66,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,3
10210,9778,8522,180,152,112,0,152,112,2,0,0,0,0,0,0,30,2,0,2,5,32
0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2
264,222,66,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,3
132,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,2
264,222,66,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,3
114,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,2
264,222,66,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,3
0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2
132,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,2
9817,9413,8249,180,152,112,0,152,112,2,0,0,0,0,0,0,28,2,0,2,5,30
765,625,129,0,0,0,84,0,0,0,0,0,0,0,0,0,10,0,2,3,3,12
0,0,0,848,792,712,0,792,712,4,0,0,0,0,0,0,0,4,0,1,2,4
264,222,66,0,0,0,60,0,0,0,0,0,0,0,0,0,3,0,1,2,2,4
0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2
114,80,0,478,422,342,0,422,342,4,0,0,0,0,0,0,2,4,0,2,5,6
264,222,66,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,3
0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2
9358,8952,7428,242,214,174,0,214,174,2,0,0,0,0,0,0,29,2,0,2,4,31
0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2
10081,9635,8315,180,152,112,0,152,112,2,0,0,0,0,0,0,31,2,0,3,6,33
264,222,66,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,3
132,104,0,0,0,0,84,0,0,0,0,0,0,0,0,0,2,0,2,2,2,4
0,0,0,252,238,218,0,238,218,0,0,0,0,0,0,0,0,1,0,1,1,1
378,302,66,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,3,5
977,823,235,650,594,514,0,594,514,5,0,0,0,0,0,0,11,4,0,3,6,15
0,0,0,424,396,356,84,396,356,2,0,0,0,0,0,0,0,2,2,2,2,4
510,406,66,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,4,7
9702,9332,8248,180,152,112,84,152,112,2,0,0,0,0,0,0,26,2,2,2,5,30
264,222,66,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,3
396,326,66,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,3,5
114,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,2
264,222,66,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,3
174,120,0,0,0,0,84,0,0,0,0,0,0,0,0,0,3,0,2,2,2,5
9978,9580,8404,180,152,112,84,152,112,2,0,0,0,0,0,0,28,2,2,2,4,32
132,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,2
264,222,66,424,396,356,0,396,356,2,0,0,0,0,0,0,3,2,0,2,4,5
0,0,0,424,396,356,0,396,356,2,0,0,0,0,0,0,0,2,0,1,2,2
264,222,66,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,3
114,80,0,0,0,0,84,0,0,0,0,0,0,0,0,0,2,0,2,2,2,4
132,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,2
765,625,129,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,3,10
0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2
174,120,0,0,0,0,60,0,0,0,0,0,0,0,0,0,3,0,1,2,2,4
8198,7904,6980,180,152,112,0,152,112,2,0,0,0,0,0,0,21,2,0,2,4,23
1856,1730,1334,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2,3,9
0,0,0,658,574,454,8484,574,454,4,0,0,0,0,0,0,0,6,202,83,5,208
0,0,0,0,0,0,10626,0,0,0,0,0,0,0,0,0,0,0,253,110,0,253
264,222,66,0,0,0,10416,0,0,0,0,0,0,0,0,0,3,0,248,110,2,251
0,0,0,0,0,0,2100,0,0,0,0,0,0,0,0,0,0,0,50,30,0,50
9358,8952,7428,242,214,174,0,214,174,2,0,0,0,0,0,0,29,2,0,2,4,31
54,40,0,212,198,178,0,198,178,1,0,0,0,0,0,0,1,1,0,2,4,2
264,222,66,636,594,534,0,594,534,3,0,0,0,0,0,0,3,3,0,2,4,6
264,222,66,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,3
132,104,0,0,0,0,84,0,0,0,0,0,0,0,0,0,2,0,2,2,2,4
54,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1
1175,993,301,226,198,158,0,198,158,3,0,0,0,0,0,0,13,2,0,3,6,15
66,52,0,0,0,0,84,0,0,0,0,0,0,0,0,0,1,0,2,2,2,3
396,326,66,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,3,5
54,40,0,0,0,0,84,0,0,0,0,0,0,0,0,0,1,0,2,2,2,3
0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
264,222,66,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,3
